game 94/100: A black -> draw (threefold_repetition, 88 plies)  |  A vs B: +40 =26 -28 over 94 games, score 56.4%, elo +45 (95% -15..+107), avg plies 124, checkmate 68, insufficient_material 5, threefold_repetition 21
game 95/100: A white -> loss (checkmate, 164 plies)  |  A vs B: +40 =26 -29 over 95 games, score 55.8%, elo +40 (95% -19..+102), avg plies 124, checkmate 69, insufficient_material 5, threefold_repetition 21
game 96/100: A black -> win (checkmate, 96 plies)  |  A vs B: +41 =26 -29 over 96 games, score 56.2%, elo +44 (95% -16..+106), avg plies 124, checkmate 70, insufficient_material 5, threefold_repetition 21
game 97/100: A white -> win (checkmate, 91 plies)  |  A vs B: +42 =26 -29 over 97 games, score 56.7%, elo +47 (95% -12..+109), avg plies 124, checkmate 71, insufficient_material 5, threefold_repetition 21
game 98/100: A black -> loss (checkmate, 111 plies)  |  A vs B: +42 =26 -30 over 98 games, score 56.1%, elo +43 (95% -16..+104), avg plies 123, checkmate 72, insufficient_material 5, threefold_repetition 21
game 99/100: A white -> loss (checkmate, 108 plies)  |  A vs B: +42 =26 -31 over 99 games, score 55.6%, elo +39 (95% -20..+100), avg plies 123, checkmate 73, insufficient_material 5, threefold_repetition 21
game 100/100: A black -> draw (threefold_repetition, 103 plies)  |  A vs B: +42 =27 -31 over 100 games, score 55.5%, elo +38 (95% -20..+99), avg plies 123, checkmate 73, insufficient_material 5, threefold_repetition 22

A vs B: +42 =27 -31 over 100 games, score 55.5%, elo +38 (95% -20..+99), avg plies 123, checkmate 73, insufficient_material 5, threefold_repetition 22
wall 1891s cpu 156s nodes/move 4000 a='' b='P_LMR=0'
