16 bots, 12000 games total, 0 already done, 12000 to play, 12 workers
[128/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.2s) | elapsed 2m, eta 179m
[129/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.0s) | elapsed 2m, eta 178m
[130/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.3s) | elapsed 2m, eta 177m
[131/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (12.1s) | elapsed 2m, eta 176m
[132/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (15.9s) | elapsed 2m, eta 178m
[133/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.5s) | elapsed 2m, eta 179m
[134/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.5s) | elapsed 2m, eta 179m
[135/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.6s) | elapsed 2m, eta 179m
[136/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (8.8s) | elapsed 2m, eta 179m
[137/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.5s) | elapsed 2m, eta 180m
[138/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.7s) | elapsed 2m, eta 179m
[139/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.7s) | elapsed 2m, eta 179m
[140/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.1s) | elapsed 2m, eta 178m
[141/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (11.3s) | elapsed 2m, eta 178m
[142/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.5s) | elapsed 2m, eta 177m
[143/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (11.2s) | elapsed 2m, eta 177m
[144/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (13.1s) | elapsed 2m, eta 177m
[145/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.5s) | elapsed 2m, eta 181m
[146/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (11.5s) | elapsed 2m, eta 180m
[147/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.3s) | elapsed 2m, eta 179m
[148/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.0s) | elapsed 2m, eta 179m
[149/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (11.7s) | elapsed 2m, eta 179m
[150/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.0s) | elapsed 2m, eta 178m
[151/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.5s) | elapsed 2m, eta 177m
[152/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (9.9s) | elapsed 2m, eta 178m
[153/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.5s) | elapsed 2m, eta 177m
[154/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (9.5s) | elapsed 2m, eta 176m
[155/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.9s) | elapsed 2m, eta 175m
[156/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (12.8s) | elapsed 2m, eta 175m
[157/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (11.3s) | elapsed 2m, eta 181m
[158/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (11.4s) | elapsed 2m, eta 180m
[159/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (12.4s) | elapsed 2m, eta 181m
[160/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.3s) | elapsed 2m, eta 180m
[161/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.3s) | elapsed 2m, eta 180m
[162/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (12.8s) | elapsed 2m, eta 179m
[163/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (12.2s) | elapsed 2m, eta 178m
[164/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.5s) | elapsed 2m, eta 178m
[165/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (13.9s) | elapsed 2m, eta 178m
[166/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (11.8s) | elapsed 2m, eta 177m
[167/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.0s) | elapsed 2m, eta 177m
[168/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (13.3s) | elapsed 3m, eta 177m
[169/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.5s) | elapsed 3m, eta 178m
[170/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.3s) | elapsed 3m, eta 181m
[171/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.6s) | elapsed 3m, eta 180m
[172/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.6s) | elapsed 3m, eta 180m
[173/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (13.6s) | elapsed 3m, eta 180m
[174/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.1s) | elapsed 3m, eta 180m
[175/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.8s) | elapsed 3m, eta 179m
[176/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (13.0s) | elapsed 3m, eta 178m
[177/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.7s) | elapsed 3m, eta 177m
[178/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.1s) | elapsed 3m, eta 177m
[179/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (12.2s) | elapsed 3m, eta 176m
[180/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.0s) | elapsed 3m, eta 176m
[181/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.0s) | elapsed 3m, eta 177m
[182/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (7.9s) | elapsed 3m, eta 179m
[183/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.4s) | elapsed 3m, eta 178m
[184/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (7.8s) | elapsed 3m, eta 177m
[185/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (9.7s) | elapsed 3m, eta 177m
[186/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.5s) | elapsed 3m, eta 177m
[187/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.5s) | elapsed 3m, eta 177m
[188/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.3s) | elapsed 3m, eta 176m
[189/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (9.7s) | elapsed 3m, eta 176m
[190/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.2s) | elapsed 3m, eta 175m
[191/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.6s) | elapsed 3m, eta 175m
[192/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (9.9s) | elapsed 3m, eta 177m
[193/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (13.7s) | elapsed 3m, eta 177m
[194/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.6s) | elapsed 3m, eta 177m
[195/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (9.9s) | elapsed 3m, eta 177m
[196/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (9.9s) | elapsed 3m, eta 177m
[197/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.7s) | elapsed 3m, eta 176m
[198/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.3s) | elapsed 3m, eta 176m
[199/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (12.8s) | elapsed 3m, eta 176m
[200/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.2s) | elapsed 3m, eta 175m
[201/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (8.8s) | elapsed 3m, eta 175m
[202/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.4s) | elapsed 3m, eta 175m
[203/12000] 01_negamax vs 04_quiescence_search: black by checkmate (12.6s) | elapsed 3m, eta 176m
[204/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.2s) | elapsed 3m, eta 176m
[205/12000] 04_quiescence_search vs 01_negamax: white by checkmate (11.0s) | elapsed 3m, eta 178m
